Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
ZNF436	1.0	1.7195933023494583	-0.3025103573742802	green	0.3025103573742802
APOA1	1.0	-1.4072301813363919	0.30234311146516946	green	0.30234311146516946
PTPRN	1.0	3.887974668520625	-0.30216085598429615	green	0.30216085598429615
SIGLEC15	1.0	-1.195031499779704	0.30168571231323693	green	0.30168571231323693
E2F1	1.0	0.42714653163004723	-0.30123374007679077	green	0.30123374007679077
ZNF804A	1.0	2.711760857673299	-0.30110957586487924	green	0.30110957586487924
NDNF	1.0	1.2574500943038853	-0.2988049702512153	green	0.2988049702512153
PPP1R14C	1.0	-2.238532790105647	-0.29788909515953227	green	0.29788909515953227
SLITRK4	1.0	-2.4215199214633105	-0.29788909515953227	green	0.29788909515953227
NANOS1	1.0	0.9704716259506837	-0.29757912880778375	green	0.29757912880778375
NPPC	1.0	-2.13205415016488	-0.29690385556506904	green	0.29690385556506904
AGL	1.0	1.2832690703649243	-0.29523084415716716	green	0.29523084415716716
VWA1	1.0	2.1109576662114606	-0.29507598865155255	green	0.29507598865155255
CCNE2	1.0	-1.8349605883218907	0.29489308100929024	green	0.29489308100929024
SMC2	1.0	3.6023869195685103	-0.2944782261177521	green	0.2944782261177521
TTC29	1.0	-2.382787098570021	0.29445691046429806	green	0.29445691046429806
ANGPT4	1.0	-2.0263426488475127	-0.294456910464298	green	0.294456910464298
JADE1	1.0	4.446961971769028	-0.2930876598976535	green	0.2930876598976535
HIST1H2AE	1.0	0.7231622151239631	-0.2930605516699865	green	0.2930605516699865
PDE4B	1.0	1.5043445605380326	-0.2929414688535751	green	0.2929414688535751
DOCK5	1.0	1.1134173942698458	-0.2928254604492852	green	0.2928254604492852
MFSD2A	1.0	0.11252489078771666	-0.29260752121996486	green	0.29260752121996486
CELF2	1.0	1.9616287630605542	-0.29154911732751937	green	0.29154911732751937
HBQ1	1.0	-2.0664351813678574	-0.2911402287124857	green	0.2911402287124857
ZNF844	1.0	1.9766800480030788	-0.29100992679457643	green	0.29100992679457643
SMAD9	1.0	0.8133425704196166	-0.29096815457135544	green	0.29096815457135544
ACSS2	1.0	4.1075548331219185	-0.2893922044321583	green	0.2893922044321583
SERTAD4	1.0	-0.6234845361059234	-0.28912339778714347	green	0.28912339778714347
HIST1H3C	1.0	0.8918877029788513	-0.28782982318928	green	0.28782982318928
HLX	1.0	2.7411071280985078	-0.28749556810999444	green	0.28749556810999444
CD200	1.0	-1.4367617353765194	-0.28737413794233624	green	0.28737413794233624
SEC23B	1.0	5.390065673985094	-0.28712214897149774	green	0.28712214897149774
TMPO	1.0	3.616396508932048	-0.28695532741116836	green	0.28695532741116836
POMGNT2	1.0	3.898343531323177	-0.28427466903521836	green	0.28427466903521836
PRRG1	1.0	1.9427117840779495	-0.2840141400561695	green	0.2840141400561695
