"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@PIAS4"	1.8310002515435e-15	0.5237362053187	0.432	0.237	1.37539245895193e-10	"6"	"PIAS4"	"P"
"P:r1@DNASE2"	1.84660206912574e-15	0.564306337271503	0.558	0.339	1.38711207626518e-10	"6"	"DNASE2"	"P"
"P:r1@LARP1"	1.86578786060065e-15	0.529578316603453	0.67	0.428	1.40152386724739e-10	"6"	"LARP1"	"P"
"D:r1@ADDG13113640397.R"	1.89774484095598e-15	0.716916951018456	0.29	0.142	1.4255289921809e-10	"6"	"ADDG13113640397.R"	"D"
"P:r1@PPP1R35"	1.92107100333899e-15	0.538014401716544	0.327	0.274	1.44305090557815e-10	"4"	"PPP1R35"	"P"
"P:r1@ZNF410"	2.01773035048363e-15	0.543614274879282	0.48	0.276	1.51565850737279e-10	"6"	"ZNF410"	"P"
"P:r2@HNRNPL"	2.0266433888245e-15	0.565660242238133	0.487	0.281	1.5223537143833e-10	"6"	"HNRNPL"	"P"
"P:r1@NUDT6"	2.04645690655246e-15	0.510645787868758	0.375	0.196	1.53723703449501e-10	"6"	"NUDT6"	"P"
"P:r1@DGCR8"	2.30966647064755e-15	0.767707792075469	0.271	0.13	1.73495216275632e-10	"6"	"DGCR8"	"P"
"P:r1@PCGF5"	2.36683700457842e-15	0.502595344499743	0.406	0.215	1.77789695272917e-10	"6"	"PCGF5"	"P"
"P:r1@COX7A1"	2.39191703860141e-15	1.07298763609949	0.948	0.695	1.79673632188622e-10	"9"	"COX7A1"	"P"
"P:r1@C16orf70"	2.43184560480314e-15	0.675920429270292	0.304	0.152	1.82672946295997e-10	"6"	"C16orf70"	"P"
"P:r1@DCBLD2"	2.4553532702916e-15	1.38424265024682	0.831	0.473	1.84438771604494e-10	"9"	"DCBLD2"	"P"
"P:r1@GANC"	2.47779870002453e-15	0.745938499293238	0.292	0.145	1.86124804949743e-10	"6"	"GANC"	"P"
"P:r1@VSIR"	2.51154988181748e-15	1.45318371326628	0.766	0.391	1.88660092472484e-10	"9"	"VSIR"	"P"
"P:r1@UBE3B"	2.51375099137225e-15	0.685676044945092	0.34	0.176	1.88825433218909e-10	"6"	"UBE3B"	"P"
"P:r1@MAP2K7"	2.54556083508635e-15	0.508147955472861	0.437	0.238	1.91214893249181e-10	"6"	"MAP2K7"	"P"
"D:r1@ADDG21008254958.B"	2.56897414658644e-15	0.659198083972246	1	1	1.92973630969134e-10	"8"	"ADDG21008254958.B"	"D"
"P:r1@FRMD8"	2.57026990298929e-15	0.600590153318423	0.323	0.162	1.93070964302847e-10	"6"	"FRMD8"	"P"
"P:r1@RAB30-DT"	2.61332961624767e-15	0.553541166755383	0.444	0.247	1.96305480783676e-10	"6"	"RAB30-DT"	"P"
"P:r1@SCAF4"	2.68855411359375e-15	0.533485831492721	0.544	0.322	2.01956119350822e-10	"6"	"SCAF4"	"P"
"P:r1@POM121"	2.82978374915782e-15	0.589776750273405	0.406	0.221	2.12564865885488e-10	"6"	"POM121"	"P"
"D:r1@ADDG16015133021.F"	2.836768692822e-15	0.752348613205967	0.261	0.124	2.1308955389871e-10	"6"	"ADDG16015133021.F"	"D"
"P:r1@ITPKC"	2.84507702267063e-15	0.532740596367436	0.274	0.221	2.1371365071195e-10	"4"	"ITPKC"	"P"
"P:r1@KANK2"	2.87251105496276e-15	1.59042313457554	0.753	0.402	2.15774412915637e-10	"9"	"KANK2"	"P"
"P:r1@EHMT2"	2.88829419406133e-15	0.517300344378418	0.644	0.418	2.16959994975305e-10	"6"	"EHMT2"	"P"
"P:r1@BTBD7"	2.92090918897333e-15	0.603403908512231	0.461	0.27	2.1940993554811e-10	"6"	"BTBD7"	"P"
"P:r1@SH3RF1"	2.97229026955843e-15	2.2138040238106	0.403	0.123	2.23269528178421e-10	"9"	"SH3RF1"	"P"
"P:r1@FAM104B"	3.0045112869452e-15	0.513646542041929	0.527	0.316	2.25689874341462e-10	"6"	"FAM104B"	"P"
"P:r1@TRIT1"	3.06562364978126e-15	0.625647647781642	0.373	0.199	2.30280451700619e-10	"6"	"TRIT1"	"P"
"P:r1@GTF2H2"	3.15295514035684e-15	0.560581721999861	0.499	0.293	2.36840531278185e-10	"6"	"GTF2H2"	"P"
"P:r1@TFAP4"	3.21944314288163e-15	0.933109888311099	0.266	0.131	2.4183491056384e-10	"6"	"TFAP4"	"P"
"P:r1@FOXD1"	3.33142080861899e-15	0.567198026695701	0.658	0.449	2.50246336881032e-10	"6"	"FOXD1"	"P"
"P:r1@MAML2"	3.47568118451764e-15	1.46447656721047	0.779	0.472	2.61082743537412e-10	"9"	"MAML2"	"P"
"P:r1@POLR2L"	3.51127471730154e-15	0.792961198031255	1	0.999	2.6375642293954e-10	"8"	"POLR2L"	"P"
"P:r1@RBM15"	3.54171923590241e-15	0.773112934855875	0.292	0.144	2.66043323843282e-10	"6"	"RBM15"	"P"
"P:r1@DKK3"	3.56891637818165e-15	2.32109333207135	0.442	0.148	2.68086291579871e-10	"9"	"DKK3"	"P"
"P:r1@LSM14B"	3.60143063225681e-15	0.654131809813836	0.385	0.208	2.70528664803235e-10	"6"	"LSM14B"	"P"
"P:r1@ITGA11"	3.67204296051682e-15	0.801525468166695	0.597	0.205	2.75832851065142e-10	"9"	"ITGA11"	"P"
"P:r1@SIN3A"	3.76235095933619e-15	0.771016053873724	0.261	0.124	2.82616517012457e-10	"6"	"SIN3A"	"P"
"P:r2@TNS1"	3.76949678876766e-15	2.42467460591359	0.364	0.104	2.8315329028186e-10	"9"	"TNS1"	"P"
"P:r3@PLEC"	3.81961541827804e-15	0.840943869724205	0.29	0.147	2.86918051374791e-10	"6"	"PLEC"	"P"
"P:r1@EXOC7"	3.90687453444537e-15	0.500881283174715	0.599	0.379	2.93472694403933e-10	"6"	"EXOC7"	"P"
"P:r1@CCDC71L"	3.98937131045173e-15	0.531643471366476	0.689	0.471	2.99669604727203e-10	"6"	"CCDC71L"	"P"
"P:r1@TPD52L2"	4.08801641420162e-15	1.06812933655155	0.948	0.704	3.07079528985583e-10	"9"	"TPD52L2"	"P"
"P:r1@FBLIM1"	4.12481557795437e-15	1.9510217219668	0.519	0.201	3.09843771769198e-10	"9"	"FBLIM1"	"P"
"P:r1@HNRNPLL"	4.28592854147039e-15	0.517977342156302	0.641	0.416	3.21946094249631e-10	"6"	"HNRNPLL"	"P"
"P:r1@DNAJB5"	4.37587636354649e-15	0.767220375652428	0.257	0.121	3.28702704800521e-10	"6"	"DNAJB5"	"P"
"P:r2@GSN"	4.39482804328539e-15	1.051209408446	0.922	0.715	3.30126298127469e-10	"9"	"GSN"	"P"
"P:r1@ZNF76"	4.4410828157969e-15	0.781000631756784	0.257	0.12	3.33600817874215e-10	"6"	"ZNF76"	"P"
"P:r1@MFSD11"	4.63506917007852e-15	0.626075998391724	0.299	0.148	3.48172490848788e-10	"6"	"MFSD11"	"P"
"P:r1@RGS3"	4.67986153468683e-15	0.623042869587788	0.252	0.117	3.51537158901071e-10	"6"	"RGS3"	"P"
"P:r1@BLZF1"	4.70648313878377e-15	0.521914467142417	0.425	0.234	3.5353689393602e-10	"6"	"BLZF1"	"P"
"P:r1@GEMIN4"	4.77121387213776e-15	0.668161622853627	0.413	0.232	3.58399272433372e-10	"6"	"GEMIN4"	"P"
"P:r2@HDLBP"	4.8374228779773e-15	0.850031455064575	0.961	0.862	3.63372694325021e-10	"9"	"HDLBP"	"P"
"P:r1@HECTD3"	4.92253080723627e-15	0.726787803161039	0.349	0.186	3.69765746647167e-10	"6"	"HECTD3"	"P"
"P:r1@BTBD10"	5.16777428228132e-15	0.55107039641138	0.416	0.23	3.88187700762126e-10	"6"	"BTBD10"	"P"
"P:r1@CBL"	5.18689476435926e-15	0.75775895354551	0.295	0.148	3.89623974014374e-10	"6"	"CBL"	"P"
"P:r1@PAWR"	5.28907002431459e-15	1.99160880416769	0.597	0.265	3.97299073016439e-10	"9"	"PAWR"	"P"
"P:r1@PEG10"	5.34990880394116e-15	1.68886365693315	0.571	0.232	4.01869099625648e-10	"9"	"PEG10"	"P"
"P:r1@MRI1"	5.3552996696007e-15	0.569236201835577	0.359	0.189	4.02274045281396e-10	"6"	"MRI1"	"P"
"P:r1@GTF2H4,r1@AL669830.1"	5.37355768959958e-15	0.544997031989207	0.425	0.235	4.03645532969652e-10	"6"	"GTF2H4,r1@AL669830.1"	"P"
"P:r1@S100A6"	5.71699434881736e-15	0.830828485601739	1	1	4.29443464500113e-10	"8"	"S100A6"	"P"
"P:r1@C2orf88"	5.76933907109804e-15	0.505818175354122	0.437	0.245	4.33375443003671e-10	"6"	"C2orf88"	"P"
"P:r1@METTL8"	6.11056209612522e-15	0.797297034485905	0.276	0.135	4.59007092974638e-10	"6"	"METTL8"	"P"
"P:r1@TMED8"	6.52394026062754e-15	0.6911426492322	0.257	0.121	4.90058820557559e-10	"6"	"TMED8"	"P"
"P:r1@HLA-F"	6.61645013539001e-15	0.762633368906621	0.287	0.143	4.97007884820092e-10	"6"	"HLA-F"	"P"
"P:r1@ZNF606"	6.93912020619007e-15	0.589090058344264	0.256	0.207	5.2124589252838e-10	"4"	"ZNF606"	"P"
